,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2014/8,,2014/11,,2015/02,,2015/05,,2015/08,,2015/11,,2016/5,,2016/8,,,Basic,Technologist,,Developer,,Sales,,,Consultant,,,Architect,,,Project Manager,,,Target,,
No,カテゴリ,,,,,目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,Level,Basic,Basiｃ,Senior,Basiｃ,Senior,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Principal,,チェック用リスト
,,,,目的が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,効果が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,実施の流れが説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,アーキテクチャ策定,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,目的が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,効果が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,実施の流れが説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,アーキテクチャ運用,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,目的が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,効果が説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,,,実施の流れが説明できる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,○,○,○,×,×,×,×,,,,,
,,顧客の課題をとらえることができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,サービス提案内容がある程度きまった顧客へのヒアリングを行うことができる,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,,,,,
,,,1st アタッチ顧客へのヒアリングができる,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermediate,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,,顧客課題の整理を行うことができる,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inermediate,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,顧客の課題解消にむけた提案を実施することができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,ご支援目的の決定ができる,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,,ご支援目的に従った提案ができる,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,どのアークウェイサービスを提供すべきか判断ができる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,,,,,
,,,,アークウェイサービスを軸としたサービスの提案ができる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,,,アークウェイサービスを顧客にフィットさせたより納得感のある提案ができる,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,,ゴールまでの作業組み立てができる,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,見積ができる,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,アーキテクチャ戦略,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,○,○,×,×,○,×,×,×,×,,,,,
,,,,アーキテクチャ策定,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,○,○,×,○,○,×,×,×,×,,,,,
,,,,アーキテクチャ運用,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,○,○,×,○,○,×,×,×,×,,,,,
,,,,その他サービス,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,×,×,×,×,×,×,○,○,×,×,○,×,×,×,×,,,,,
,,,提案内容をもって顧客と金銭交渉ができる,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,ストーリーに対するリスクを把握することができる,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,ストーリーに対するリスクの抽出、実現性の確認と対応方法の検討ができる,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced,,,,,,,,,,,,,,,,,,,,
,,契約締結に向けた作業を実施できる,,,,,,,,,,,,,,,,,,,,,Basic,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,,,,,
,,,アークウェイの営業プロセスを理解している,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,,,,,
,,,アークウェイの営業～売上までのプロセスを理解している,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,,,,,
,,,顧客と内容をつめながら契約手続きを進めることができる,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermedeiate,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,,,,,
,,社交性,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,自ら進んで相手に話かけて接点をもつことができる,,,3,1,2,2,2,3,3,3,2,3,2,3,2,3,3,3,3,,,,,,,,,,,×,×,×,×,×,×,,,,,
,,実行力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,困難な状況においても下がらずに前に進めることができる,,,3,1,2,2,2,3,3,3,2,3,2,3,2,3,3,3,3,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,コンサルティングスキル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,,,,,
,,ゴールとスコープを意識してデリバリできる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,ゴールとスコープを説明できる,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Basic,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
,,,ゴールとスコープの変更が必要な場合に調整ができる,,,2,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,ゴールに対してのストーリーの組み立てができる,,,4,3,3,3,3,2,3,2,3,2,3,2,3,2,2,2,2,Intermediate,,,,,,,,,,○,○,,,,,,,,,
,,,ストーリーに対するリスクの抽出、実現性の確認と対応方法の検討ができる,,,4,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,3,Intermediate,,,,,,,,,,○,○,,,,,,,,,
